,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
20,01010_2014,0.5384615384615384,36.53846153846154,0.7692307692307693,0.07692307692307693,1.0,0.0,0.0,1.0,1.0,2014.0,27.307692307692307,13.0,50183.0,191205.0,4.513480296017364,9.326638947726263,8.596502746591382,51.241337831123666,13.776797642019549,89.03329406379675,28.62449068411535
21,01010_2015,0.6666666666666666,38.8,0.7333333333333333,0.13333333333333333,1.0,0.0,0.0,1.0,1.0,2015.0,27.666666666666668,13.0,50254.0,195121.0,4.497721926394392,9.498208803767918,7.502824858757062,51.1513368627672,13.411660731460062,89.51832468376143,28.985189889124896
22,01010_2016,0.8125,45.5625,0.75,0.5,1.0,0.0,0.0,1.0,1.0,2016.0,27.8125,13.0,51365.0,199510.0,4.366698411107213,9.225602726680366,6.28684322938915,51.19492757255275,12.99379576891782,90.02758206736884,29.54711102853958
23,01010_2017,0.5833333333333334,46.166666666666664,0.75,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,2017.0,24.166666666666668,13.0,52562.0,203360.0,4.439909520062942,9.460070810385524,5.504422536995208,51.058713611329665,11.845461852201305,90.21339374361986,30.742123589377858
24,01010_2018,0.7857142857142857,40.0,0.8571428571428571,0.42857142857142855,1.0,0.0,0.0,1.0,1.0,2018.0,35.357142857142854,13.0,55962.0,208107.0,4.494322632107521,9.384114902430001,4.444239782239414,51.3769359031652,10.56609850240815,90.26457762145466,31.345883025260395
25,01010_2019,0.875,38.5,1.0,0.5625,0.0,0.0,1.0,1.0,1.0,2019.0,32.5,13.0,58320.0,212830.0,4.562796598223935,9.173988629422544,4.255062073965182,51.37151717333083,10.354072646433035,90.80615702260575,31.862459632590394
26,01030_2007,0.7142857142857143,43.2952380952381,0.23809523809523808,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,2007.0,22.63157894736842,17.0,38302.0,21424.0,,,,48.58569828230022,11.934156378600823,69.25675675675676,11.000844594594595
27,01030_2008,0.5675675675675675,17.08108108108108,0.2702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,1.0,2008.0,25.571428571428573,17.0,43882.0,21473.0,,,,49.17803753550971,13.039694435043273,73.58581345796962,12.097051343734964
28,01030_2009,0.5757575757575758,28.55757575757576,0.5757575757575758,0.36363636363636365,0.0,0.0,0.0,0.0,1.0,2009.0,27.580645161290324,17.0,41236.0,21464.0,0.8852031308237048,23.07584793142005,4.796341593108582,47.98732761833768,11.896526526038876,72.15818897094347,11.09117261370695
29,01030_2010,0.4074074074074074,51.907407407407405,0.5555555555555556,0.18518518518518517,0.0,0.0,0.0,0.0,1.0,2010.0,31.153846153846153,17.0,41770.0,22610.0,0.5926581158779302,15.25873507297656,4.566907273736813,46.20964175143742,12.639006743780984,74.54581620474738,10.025195597400876
30,01030_2011,0.5555555555555556,29.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,2011.0,26.11111111111111,17.0,40506.0,22746.0,1.6486415193880242,22.606172513848588,9.606649270319899,47.91172074210851,15.6548941379154,75.86815773984696,9.809691975671964
31,01030_2012,0.5,26.7,0.7,0.0,1.0,0.0,0.0,1.0,1.0,2012.0,26.5,17.0,36824.0,22769.0,1.8402213535947998,21.71373358513769,10.456293524581644,46.62040493653652,16.49077727814995,76.14383296816601,8.996004639773167
32,01030_2013,0.5714285714285714,33.964285714285715,0.5714285714285714,0.07142857142857142,1.0,0.0,0.0,1.0,1.0,2013.0,26.071428571428573,17.0,36447.0,22754.0,1.9469104333304035,21.662125340599456,12.21273801707157,45.754592599103454,18.137825136103487,77.45110821382006,12.066492829204693
33,01030_2014,0.4444444444444444,29.333333333333332,0.7777777777777778,0.1111111111111111,1.0,0.0,0.0,1.0,1.0,2014.0,28.333333333333332,17.0,37984.0,22653.0,2.0085639871098753,21.14951662031519,10.919475865158471,46.05571006047764,17.04265402843602,77.89963654912964,10.240387680928393
34,01030_2015,0.6,31.3,0.7,0.2,0.0,0.0,1.0,1.0,1.0,2015.0,28.5,17.0,38678.0,22604.0,2.2208458679879666,21.403291452840207,8.313066548750829,46.589099274464694,16.795878075793325,80.65135325356708,10.64687440015356
35,01030_2016,0.8333333333333334,42.0,0.75,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,2016.0,25.833333333333332,17.0,39776.0,22572.0,2.2239943292574873,21.21212121212121,7.146826720017782,46.46464646464646,16.453914478474008,80.6984126984127,12.0
36,01030_2017,0.5,44.25,0.75,0.5,1.0,0.0,0.0,1.0,1.0,2017.0,21.25,17.0,43404.0,22580.0,2.3516386182462354,21.961913197519927,8.18069446005169,45.74402125775022,15.242033568474826,82.13632637619017,13.222775710952773
37,01030_2018,0.8,33.7,0.8,0.7,1.0,0.0,0.0,1.0,1.0,2018.0,36.0,17.0,45340.0,22527.0,2.428197274381853,22.080170462112132,7.513988808952837,46.055844098193276,13.987688098495212,83.20659062103928,11.489226869455006
38,01030_2019,0.9230769230769231,27.53846153846154,1.0,0.7692307692307693,1.0,0.0,0.0,1.0,1.0,2019.0,32.30769230769231,17.0,47542.0,22493.0,2.5741341750766904,22.14466722980483,7.28498783992925,45.98319477170675,18.127181077937184,79.05739732805543,10.378525482434437
39,01040_2007,0.6470588235294118,42.30588235294118,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,2007.0,22.5,18.0,44665.0,55803.0,,,3.9406763210001166,51.06535490923427,10.639649944622983,73.99499494169639,11.618124700495182
40,01040_2008,0.4444444444444444,34.7037037037037,0.2222222222222222,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,2008.0,27.307692307692307,18.0,46129.0,56550.0,,,5.032871522490065,50.63129973474801,11.986534398166386,72.98692450803134,11.553074967900848
41,01040_2009,0.5333333333333333,41.483333333333334,0.6333333333333333,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,2009.0,27.962962962962962,18.0,45406.0,56804.0,7.277656503063165,0.8326878388845856,5.668339416058395,50.32744172945567,10.953931564618587,72.86598045331671,12.315450197546268
42,01040_2010,0.5555555555555556,57.074074074074076,0.5185185185185185,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,2010.0,27.2,18.0,45549.0,56692.0,7.489592887885416,1.1553658364495871,3.763521353445372,50.46920200381007,13.371316656280602,74.65931469082317,12.527241696205854
43,01040_2011,0.6923076923076923,37.15384615384615,0.46153846153846156,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,2011.0,25.384615384615383,18.0,45404.0,57140.0,7.8316415820791025,1.3335666783339168,9.106632576327268,50.37276863843192,13.708269403735251,73.15000129961271,11.29883294778156
44,01040_2012,0.6153846153846154,37.53846153846154,0.46153846153846156,0.15384615384615385,1.0,0.0,0.0,1.0,0.0,2012.0,26.923076923076923,18.0,45192.0,57466.0,8.084780565899836,1.2355131730066478,10.016726222154642,50.42459889325862,14.731633709402908,75.66338526729194,12.381469136759424
45,01040_2013,0.5384615384615384,40.07692307692308,0.46153846153846156,0.07692307692307693,1.0,0.0,0.0,1.0,0.0,2013.0,27.692307692307693,18.0,44145.0,57623.0,8.33000711521441,1.3536261562223417,9.738018668130834,50.36009926591812,15.81123942033049,76.99377027235751,12.091335015188179
46,01040_2014,0.5454545454545454,41.27272727272727,0.7272727272727273,0.09090909090909091,1.0,0.0,0.0,1.0,0.0,2014.0,31.818181818181817,18.0,44409.0,57645.0,8.465608465608465,1.469338190649666,9.266674756299802,50.431086824529444,17.28360457579314,78.06258322237018,12.263136331045784
47,01040_2015,0.6923076923076923,38.30769230769231,0.6923076923076923,0.15384615384615385,1.0,0.0,0.0,1.0,0.0,2015.0,34.23076923076923,18.0,45813.0,57710.0,8.629353664876104,1.5317969156125455,7.668941411451398,50.594351065673195,16.720932675139167,78.50182704019488,12.890783597239139
48,01040_2016,0.8666666666666667,47.86666666666667,0.7333333333333333,0.5333333333333333,1.0,0.0,0.0,1.0,0.0,2016.0,31.666666666666668,18.0,46212.0,57704.0,8.727297934285316,1.5579509219464853,5.95383275261324,50.485234992374885,16.534440182840328,80.03141467369275,13.049756789623023
49,01040_2017,0.6363636363636364,46.54545454545455,0.7272727272727273,0.36363636363636365,1.0,0.0,0.0,1.0,0.0,2017.0,27.272727272727273,18.0,47412.0,57667.0,9.012086635337369,1.5242686458459778,4.855146633438654,50.595661296755516,15.633380659410001,79.78467384420519,13.101963267891072
50,01040_2018,0.8461538461538461,41.0,0.8461538461538461,0.46153846153846156,1.0,0.0,0.0,1.0,0.0,2018.0,33.84615384615385,18.0,48695.0,57645.0,9.126550438025847,1.4224997831555208,4.08447539878679,50.673952641165755,14.400336358221505,80.1625154566331,12.642894995836173
51,01040_2019,0.9444444444444444,27.666666666666668,1.0,0.5555555555555556,1.0,0.0,0.0,1.0,0.0,2019.0,31.11111111111111,18.0,49358.0,57681.0,9.261281877914739,1.5273660304086267,3.364197530864198,50.59898406754391,13.551516425019262,80.49056319268176,13.093413083360558
52,01100_2007,0.625,44.95,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2007.0,22.333333333333332,3.0,37023.0,41844.0,,,5.328078616030299,50.556830130962624,17.858432212568292,73.93150196218338,10.164109882268997
53,01100_2008,0.4642857142857143,41.714285714285715,0.21428571428571427,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,2008.0,26.48148148148148,3.0,37316.0,42104.0,,,8.42800660627596,50.43938818164545,18.308271578291006,74.19377602145225,11.392985674970008
54,01100_2009,0.5833333333333334,40.90416666666667,0.5,0.25,0.0,0.0,0.0,0.0,0.0,2009.0,25.90909090909091,3.0,38966.0,42272.0,4.679220287660863,10.448996971990915,7.627993901539369,50.480223315669946,17.188506021223322,74.59467130237344,11.33146485968709
55,01100_2010,0.47619047619047616,54.26190476190476,0.5238095238095238,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,2010.0,26.57894736842105,3.0,39486.0,43121.0,6.507270239558452,9.188098606247536,4.551075933712589,50.60875211613831,18.44308296698157,75.85977446242208,12.183932198641171
56,01100_2011,0.5833333333333334,29.833333333333332,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2011.0,26.666666666666668,3.0,40418.0,43444.0,7.025135807015928,9.324647822484119,11.140100423353353,50.66292238283767,17.382503489995347,74.77533742757018,12.376392214010616
